gen,prey_best,prey_mean,pred_best,pred_mean,prey_species,pred_species,prey_survivors,pred_survivors
0,126.221,-16.6057,68.3261,-20.5151,1,1,134,70
1,128.837,-16.8789,18.8997,-25.5108,1,1,141,70
2,52.3189,-19.6036,68.9916,-21.8535,1,1,136,70
3,128.016,-17.3997,67.1213,-24.8841,1,1,140,70
4,170.544,-18.6495,20.5534,-23.1454,4,3,138,70
5,169.794,-18.6292,69.1977,-27.7458,14,5,145,70
6,140.09,-14.1959,19.3702,-24.8009,17,7,141,70
7,146.872,-17.5959,19.6079,-24.559,15,6,140,70
8,127.028,-17.1824,68.045,-24.6157,15,6,140,70
9,99.4937,-17.2552,69.8499,-23.0136,14,8,138,70
10,69.519,-18.9801,71.0728,-24.4394,16,7,141,70
11,56.4737,-17.6193,66.8778,-20.3453,16,6,135,70
12,145.021,-13.6737,20.0903,-19.6416,15,8,134,70
13,71.6982,-18.1129,20.465,-24.6768,15,10,141,70
14,158.63,-13.9084,69.6044,-22.3829,16,9,138,70
15,174.348,-14.8145,70.2167,-19.3895,18,8,134,70
16,152.747,-14.959,119.12,-16.2358,17,9,130,70
17,173.858,-11.2335,21.0193,-21.4116,15,9,137,70
18,59.1117,-16.2343,21.8338,-21.2603,18,9,137,70
19,107.584,-13.5669,117.692,-16.2108,17,8,130,70
20,188.034,-14.0207,22.3258,-20.5122,20,8,136,70
21,156.687,-16.2897,21.4875,-21.7085,18,8,138,70
22,161.421,-12.5326,21.8754,-20.3285,16,8,136,70
23,131.763,-13.5647,119.677,-19.6285,15,8,135,70
24,125.997,-11.9152,120.464,-14.6203,16,8,128,70
25,66.7662,-15.271,69.7546,-21.7551,16,9,138,70
26,169.691,-13.1121,121.94,-14.6366,15,8,128,70
27,86.7241,-13.6541,70.3929,-13.9672,18,8,127,70
28,177.462,-12.2309,20.6236,-21.0306,17,8,137,70
29,84.6928,-15.4564,70.5318,-19.1007,16,8,134,70
30,116.529,-14.8234,69.0092,-18.6131,17,8,134,70
31,116.952,-15.3774,73.0262,-15.9452,16,8,131,70
32,94.2917,-15.1607,69.4734,-21.129,17,8,138,70
33,87.5286,-15.1074,117.295,-15.8732,15,9,131,70
34,174.495,-14.5886,70.2051,-19.893,14,8,137,70
35,128.141,-15.0477,125.251,-18.7061,14,7,136,70
36,101.842,-13.8729,72.1924,-14.895,14,8,131,70
37,144.915,-14.16,120.747,-11.7132,16,8,126,70
38,161.08,-14.4123,73.8375,-8.85851,14,8,122,70
39,111.198,-14.0368,121.723,-14.2035,19,7,130,70
40,102.941,-13.4933,74.7473,-15.4064,19,7,132,70
41,163.051,-14.059,71.3327,-19.9004,22,7,139,70
42,159.287,-11.0032,71.5561,-13.4609,23,6,129,70
43,162.159,-16.3156,71.5463,-15.6432,21,6,132,70
44,94.2137,-13.4051,73.6313,-18.9067,21,6,137,70
45,100.012,-15.6869,23.4854,-15.2914,23,7,132,70
46,130.085,-15.3877,27.2436,-20.1177,21,9,139,70
47,99.431,-13.5548,71.7896,-18.0761,20,9,136,70
48,120.977,-14.6357,68.6117,-19.4472,21,12,138,70
49,144.577,-13.857,219.227,-11.8144,19,11,126,70
50,148.275,-10.9841,71.3101,-17.1012,22,13,134,70
51,131.215,-14.4178,119.524,-17.8567,20,10,135,70
52,71.5305,-14.5858,120.432,-8.12125,18,11,121,70
53,145.974,-12.2268,68.2017,-16.9699,17,11,134,70
