# Self
self_x,self_y,self_angle_deg,self_type
738.156,658.648,-216.524,predator

# Nearby entities
entity_type,world_x,world_y,delta_x,delta_y,body_angle_deg,distance,channel
food,1007.61,537.682,269.456,-120.966,-102.347,295.363,food
food,1009.24,567.662,271.085,-90.9858,-107.97,285.946,food
food,966.928,533.363,228.772,-125.285,-97.817,260.831,food
food,1014.89,569.215,276.732,-89.4329,-108.614,290.824,food
food,1013.92,573.013,275.768,-85.6345,-109.273,288.758,food

# Eye activations
tier,eye_id,center_angle_deg,arc_width_deg,max_range,food_signal,same_signal,opposite_signal
short,0,0,18,100,0,0,0
short,1,-18,18,100,0,0,0
short,2,18,18,100,0,0,0
short,3,-36,18,100,0,0,0
short,4,36,18,100,0,0,0
short,5,-58.5,27,100,0,0,0
short,6,58.5,27,100,0,0,0
short,7,-81,27,100,0,0,0
short,8,81,27,100,0,0,0
short,9,-112.5,27,100,0,0,0
short,10,112.5,27,100,0,0,0
short,11,-139.5,27,100,0,0,0
short,12,139.5,27,100,0,0,0
short,13,-166.5,27,100,0,0,0
short,14,166.5,27,100,0,0,0
short,15,180,27,100,0,0,0
long,0,0,25,300,0,0,0
long,1,90,25,300,0,0,0
long,2,180,25,300,0,0,0
long,3,-90,25,300,0.130563,0,0
